Category	Term	Counts	ListSize	PopHit	Pop.Size	Pvalue	Bonferroni	FDR	OverlappedID	Refs
Chemicals/stress	UP by 1-methylnicotinamide (MNA)	90	185	714	29469	1.95E-77	4.47E-76	4.47E-76	"col-149,clec-52,col-145,col-10,B0280.7,B0310.6,C02E7.6,C02E7.7,abu-8,C05E7.2,C06E8.5,col-39,ins-12,col-125,col-107,C42D4.3,col-180,C45B2.2,col-14,col-161,E01G4.6,dct-5,col-130,col-91,F10D11.6,ugt-41,col-12,col-81,ram-2,F41F3.3,col-139,F48G7.5,col-133,F53B1.4,F53F1.4,cut-2,col-154,col-159,col-104,H10E21.4,ugt-13,K01D12.9,K02E11.10,col-49,K10H10.4,col-129,col-77,R12E2.14,R12E2.15,R12E2.7,R74.2,grd-14,phat-4,pqn-63,T06E4.12,T06E4.14,col-146,T06E4.8,col-167,col-169,col-157,col-142,grd-6,T19C3.2,T21C9.9,ptr-16,pqn-72,pqn-74,col-92,col-120,col-162,col-109,clec-174,Y47D3B.6,Y47D7A.13,Y47D7A.15,grl-5,col-71,Y51H7C.13,col-48,rol-1,grl-16,Y71G12B.25,bli-6,col-97,abu-14,ZK180.5,ZK180.6,col-63,wrt-4"	http://www.ncbi.nlm.nih.gov/pubmed/24077178
Mutants	UP by rhy-1 mutant (Albores)	98	185	1076	29469	5.86E-74	1.34E-69	6.72E-71	"col-149,clec-52,col-145,col-10,B0280.7,abu-8,C04G6.2,C05E7.2,doxa-1,C06E8.5,col-39,gpx-5,C15A11.4,col-7,col-62,col-125,col-107,acs-19,C42D4.3,col-180,col-14,col-161,E01G4.6,dct-5,F08F3.4,col-130,col-91,ifb-1,F10D11.6,ugt-41,col-12,col-13,pes-8,col-60,F35H10.10,ram-2,F41F3.3,F48G7.5,col-133,cut-2,col-154,col-159,col-160,col-104,H10E21.4,K01D12.9,K02E11.10,tyr-2,col-49,K10H10.4,col-77,R12E2.7,grd-14,phat-4,pqn-63,T06E4.12,T06E4.14,col-147,col-146,T06E4.8,T06E4.9,col-168,col-167,col-169,col-170,T10E9.3,col-157,grd-6,T19C3.2,T21C9.9,toh-1,pqn-72,pqn-74,col-94,col-92,col-88,col-120,col-162,col-109,Y47D3B.6,Y47D7A.13,Y47D7A.15,grl-5,col-71,col-137,Y51H7C.13,col-48,rol-1,Y58A7A.1,grl-16,bli-6,dao-4,col-97,abu-14,ZK180.5,ZK180.6,col-63,ZK84.1"	http://www.biorxiv.org/content/early/2017/03/02/112920.1
Chemicals/stress	UP by nicotinic acid (NA)	76	185	479	29469	3.73E-70	8.56E-67	2.85E-66	"col-149,col-145,col-10,C02E7.6,C02E7.7,C05E7.2,C06E8.5,col-39,col-125,col-107,C39B5.5,C42D4.3,col-180,col-14,col-161,E01G4.6,dct-5,col-130,col-91,col-12,col-13,col-60,nlp-24,col-81,ram-2,F41F3.3,col-139,col-133,F53B1.4,F53F1.4,col-159,col-104,H10E21.4,K01D12.9,K02E11.10,col-49,K10H10.4,col-129,col-77,grd-14,phat-4,T06E4.12,col-147,col-146,col-167,col-169,col-170,T10E9.3,col-157,col-142,grd-6,T19C3.2,T21C9.9,mup-2,col-94,col-92,col-88,col-120,col-162,col-109,Y47D7A.13,Y47D7A.15,grl-5,col-71,col-137,Y51H7C.13,col-48,rol-1,grl-16,bli-6,dao-4,col-97,ZK180.5,ZK180.6,col-63,wrt-4"	http://www.ncbi.nlm.nih.gov/pubmed/24077178
Development/Dauer/Aging	expression oscillatory during larval development	125	185	2682	29469	1.32E-67	3.02E-64	7.55E-66	"col-149,B0034.7,B0222.5,col-145,col-10,B0280.7,B0310.6,ttr-18,nspb-10,C02E7.6,C02E7.7,abu-8,C04G6.2,C05E7.2,doxa-1,C06E8.5,col-39,gpx-5,ins-12,col-125,col-107,acs-19,C42D4.3,col-180,C44C10.3,C45B2.2,C45B2.3,col-14,col-161,dct-5,F08F3.4,col-130,col-91,F10D11.6,F11E6.4,F15B9.8,col-12,col-13,F20D6.5,F28H7.8,nlp-24,F35H10.10,ram-2,F41F3.3,grl-4,decr-1.1,F48G7.5,col-133,F53B1.4,F53F1.4,cut-2,col-154,col-155,col-159,col-160,ttr-31,col-104,arrd-10,H10E21.4,ugt-13,K01D12.9,K02E11.10,ttr-2,nas-3,tyr-2,K08H2.7,K10H10.4,col-77,R07E5.4,lips-17,R12E2.14,R12E2.15,R12E2.7,R74.2,grd-14,T01D1.3,phat-4,pqn-63,T06E4.12,T06E4.14,col-147,col-146,T06E4.8,T06E4.9,col-167,col-169,col-170,col-157,col-142,col-141,grd-6,T19C3.2,T20D4.4,T20D4.5,T21C9.9,ptr-16,rnr-1,toh-1,W01A8.6,pqn-72,pqn-74,col-92,W05B2.7,grd-13,W06A11.1,ins-33,col-162,Y37E11B.7,col-109,lact-8,grsp-1,Y47D3B.6,Y47D7A.13,grl-5,col-48,Y58A7A.1,grl-16,hex-5,Y71G12B.25,col-97,abu-14,ZK180.5,ZK180.6,wrt-4,ZK84.1"	http://www.ncbi.nlm.nih.gov/pubmed/24440504
Mutants	UP by ced-4(n1162) mutant	73	185	467	29469	5.62E-66	1.29E-61	2.58E-63	"clec-52,col-145,B0280.7,B0310.6,nspb-10,C02E7.6,C02E7.7,abu-8,C04G6.2,C05E7.2,C06E8.5,col-107,C42D4.3,col-180,col-14,col-161,E01G4.6,dct-5,col-130,col-91,F10D11.6,F15B9.8,pes-8,col-60,F35H10.10,ram-2,F41F3.3,F53B1.4,F53F1.4,cut-2,col-104,H10E21.4,dpy-14,K01D12.9,tyr-2,col-49,K10H10.4,col-77,R12E2.14,R12E2.15,R12E2.7,grd-14,tbb-6,pqn-63,T06E4.8,T06E4.9,T10E9.3,grd-6,T19C3.2,W01A8.6,pqn-74,col-88,col-120,col-162,col-109,Y47D3B.6,Y47D7A.13,grl-5,col-71,col-137,Y51H7C.13,col-48,rol-1,Y58A7A.1,grl-16,dao-4,col-97,abu-14,ZK180.5,ZK180.6,col-63,wrt-4,ZK84.1"	http://www.ncbi.nlm.nih.gov/pubmed/24813612
DAF/Insulin/food	UP by glucose (Ladage)	93	185	1103	29469	1.44E-64	3.3E-61	5.49E-63	"col-149,clec-52,col-145,col-10,ttr-18,C02E7.6,C04G6.2,C05E7.2,col-7,col-62,col-125,col-107,C39B5.5,C42D4.3,col-180,col-161,E01G4.6,dct-5,F10D11.6,F15B9.8,col-12,col-13,pes-8,col-60,nlp-24,col-81,ram-2,col-139,grl-4,decr-1.1,col-133,F53B1.4,cut-2,col-154,col-155,col-159,col-160,ttr-31,col-104,H10E21.4,dpy-14,K02E11.10,tyr-2,col-49,K10H10.4,col-129,col-77,R12E2.14,R12E2.15,R12E2.7,R74.2,grd-14,T06E4.12,T06E4.14,col-147,col-146,T06E4.9,col-167,col-169,T10E9.3,col-157,col-142,col-141,grd-6,T19C3.2,T21C9.9,mup-2,toh-1,pqn-72,pqn-74,col-94,col-92,W05B2.7,col-88,gln-3,col-120,col-162,col-109,grsp-1,Y47D7A.13,Y47D7A.15,col-71,col-137,Y51H7C.13,rol-1,grl-16,dao-4,col-97,ZK180.5,ZK180.6,col-63,wrt-4,ZK84.1"	https://www.ncbi.nlm.nih.gov/pubmed/27507791
Mutants	down by aak-2 mutant (Burkewitz)	81	185	763	29469	7.96E-62	1.82E-57	2.61E-59	"B0222.5,col-145,C02E7.7,abu-8,C05E7.2,doxa-1,C06E8.5,col-39,col-7,col-62,col-125,col-107,C42D4.3,col-180,col-161,dct-5,col-130,col-91,F10D11.6,ugt-41,col-12,col-13,col-60,F28H7.8,col-81,ram-2,col-139,grl-4,F48G7.5,col-133,F53F1.4,col-154,col-155,col-159,col-160,ttr-31,H10E21.4,K01D12.9,tyr-2,K10H10.4,col-129,col-77,R07E3.4,R07E5.4,lips-17,R12E2.14,R12E2.15,R12E2.7,grd-14,T01D1.3,pqn-63,T06E4.12,T06E4.14,col-146,T06E4.8,T06E4.9,col-168,col-167,col-170,T10E9.3,col-157,grd-6,T21C9.9,mup-2,toh-1,pqn-72,pqn-74,col-94,col-92,W05B2.7,col-88,col-120,col-162,Y47D3B.6,Y47D7A.13,Y47D7A.15,col-137,grl-16,abu-14,ZK180.5,ZK84.1"	http://www.ncbi.nlm.nih.gov/pubmed/25723162
Chemicals/stress	UP by Glucose-Fed	42	185	63	29469	2.07E-60	4.74E-58	5.92E-59	"col-145,C02E7.6,col-7,col-125,col-107,C42D4.3,col-161,E01G4.6,dct-5,col-12,col-60,col-133,cut-2,col-104,H10E21.4,K02E11.10,col-49,K10H10.4,col-77,R12E2.14,R12E2.15,R12E2.7,col-146,col-169,col-157,grd-6,T19C3.2,T21C9.9,col-88,col-120,col-162,col-109,Y47D7A.13,Y47D7A.15,col-137,rol-1,grl-16,dao-4,col-97,ZK180.5,col-63,wrt-4"	http://www.ncbi.nlm.nih.gov/pubmed/25762526
Mutants	UP by skn-1 under daf-2 mutant	67	185	425	29469	5.24E-59	1.2E-54	1.34E-55	"col-145,col-10,abu-8,C04G6.2,C05E7.2,doxa-1,C06E8.5,gpx-5,C15A11.4,col-7,col-125,C42D4.3,col-180,col-161,dct-5,col-130,col-91,F10D11.6,col-12,col-13,pes-8,col-60,F28H7.8,F35H10.10,col-81,ram-2,grl-4,F48G7.5,col-133,cut-2,col-155,H10E21.4,K02E11.10,tyr-2,col-49,K10H10.4,lips-17,grd-14,pqn-63,T06E4.12,col-146,col-168,col-167,col-169,col-170,T10E9.3,col-141,grd-6,T21C9.9,toh-1,W01A8.6,pqn-72,pqn-74,col-92,col-88,col-120,col-162,grsp-1,Y47D7A.13,Y47D7A.15,col-137,grl-16,Y71G12B.25,dao-4,col-97,ZK180.6,wrt-4"	http://www.ncbi.nlm.nih.gov/pubmed/25517099
Mutants	down by ife-1 mutant non-polysome	81	185	900	29469	5.19E-56	1.19E-51	1.19E-52	"col-149,col-145,ttr-18,nspb-10,C02E7.6,C02E7.7,abu-8,C05E7.2,col-39,col-7,col-62,col-125,col-107,col-180,col-14,col-161,E01G4.6,dct-5,col-130,col-91,F10D11.6,F15B9.8,F15E11.1,col-12,col-13,col-60,ttm-2,F35H10.10,col-81,ram-2,F41F3.3,col-139,decr-1.1,F53B1.4,cut-2,col-104,H10E21.4,ugt-13,K01D12.9,ttr-2,tyr-2,col-49,col-129,col-77,R12E2.14,R12E2.15,R12E2.7,grd-14,col-147,col-146,col-168,col-167,col-169,col-170,col-157,col-141,grd-6,hsp-12.1,toh-1,W01A8.6,pqn-74,col-88,ins-33,col-120,col-162,col-109,Y47D3B.6,Y47D7A.13,grl-5,col-71,col-137,Y51H7C.13,col-48,rol-1,grl-16,col-97,abu-14,ZK180.5,ZK180.6,col-63,ZK84.1"	http://www.ncbi.nlm.nih.gov/pubmed/26542024
