# Genes with changed CGC names
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype
cest-1	WBGene00011362	T02B5.1	CDS	cest-1.1	WBGene00011362	T02B5.1	CDS
cyp-34A4	WBGene00020386	T09H2.1	CDS	dach-1	WBGene00020386	T09H2.1	CDS
dic-1	WBGene00000994	F08B4.1	CDS	ints-6	WBGene00000994	F08B4.1	CDS
emo-1	WBGene00001303	F32D8.6	CDS	sec-61.G	WBGene00001303	F32D8.6	CDS
sec-61	WBGene00013311	Y57G11C.15	CDS	sec-61.A	WBGene00013311	Y57G11C.15	CDS

# new CGC names
# old CGC	old GeneID	old SequenceID	old Biotype	new CGC	new GeneID	new SequenceID	new Biotype
.	.	.	.	aatf-1	WBGene00022269	Y73E7A.2	CDS
.	.	.	.	adk-1	WBGene00011128	R07H5.8	CDS
.	.	.	.	cest-1.2	WBGene00011364	T02B5.3	CDS
.	.	.	.	cest-10	WBGene00016595	C42D4.2	CDS
.	.	.	.	cest-12	WBGene00013540	Y75B8A.3	CDS
.	.	.	.	cest-13	WBGene00010116	F55F3.2	CDS
.	.	.	.	cest-15	WBGene00012202	W02B12.4	Pseudogene
.	.	.	.	cest-16	WBGene00020330	T07H6.1	CDS
.	.	.	.	cest-17	WBGene00019477	K07C11.4	CDS
.	.	.	.	cest-19	WBGene00020125	R173.3	CDS
.	.	.	.	cest-2.1	WBGene00013875	ZC376.3	CDS
.	.	.	.	cest-2.2	WBGene00013874	ZC376.2	CDS
.	.	.	.	cest-2.3	WBGene00013873	ZC376.1	CDS
.	.	.	.	cest-24	WBGene00020891	T28C12.4	CDS
.	.	.	.	cest-25	WBGene00022178	Y71H2AM.13	CDS
.	.	.	.	cest-26	WBGene00017478	F15A8.6	CDS
.	.	.	.	cest-27	WBGene00018958	F56C11.6	CDS
.	.	.	.	cest-28	WBGene00019654	K11G9.3	CDS
.	.	.	.	cest-29	WBGene00017205	F07C4.12	Pseudogene
.	.	.	.	cest-3	WBGene00008451	E01G6.3	CDS
.	.	.	.	cest-30	WBGene00015071	B0238.7	CDS
.	.	.	.	cest-31	WBGene00019653	K11G9.2	CDS
.	.	.	.	cest-32	WBGene00016862	C52A10.1	CDS
.	.	.	.	cest-33	WBGene00017431	F13H6.3	CDS
.	.	.	.	cest-34	WBGene00019652	K11G9.1	CDS
.	.	.	.	cest-35.1	WBGene00015067	B0238.1	CDS
.	.	.	.	cest-35.2	WBGene00016863	C52A10.2	CDS
.	.	.	.	cest-4	WBGene00015930	C17H12.4	CDS
.	.	.	.	cest-5.1	WBGene00015279	C01B10.4	CDS
.	.	.	.	cest-5.2	WBGene00015284	C01B10.10	CDS
.	.	.	.	cest-6	WBGene00020688	T22D1.11	CDS
.	.	.	.	cest-7	WBGene00007693	C23H4.4	CDS
.	.	.	.	cest-8	WBGene00007691	C23H4.2	CDS
.	.	.	.	cest-9.1	WBGene00007692	C23H4.3	CDS
.	.	.	.	cest-9.2	WBGene00007695	C23H4.7	CDS
.	.	.	.	daf-42	WBGene00021496	Y40C5A.3	CDS
.	.	.	.	exc-12	WBGene00011476	T05D4.3	CDS
.	.	.	.	exc-13	WBGene00015393	C03G6.5	CDS
.	.	.	.	exc-14	WBGene00019649	K11D12.9	CDS
.	.	.	.	exc-15	WBGene00020369	T08H10.1	CDS
.	.	.	.	fbxc-58	WBGene00007506	C10C5.2	CDS
.	.	.	.	gyf-1	WBGene00016002	C18H9.3	CDS
.	.	.	.	ints-11	WBGene00008642	F10B5.8	CDS
.	.	.	.	ints-13	WBGene00019822	R02D3.4	CDS
