,PublicationsCElegans,PublicationsExpressionByArray,PublicationsExpressionBySequencing,PublicationsExpressionByGenomeTiling,PublicationsExpressionByMPSS,PublicationsExpressionByRTPCR,PublicationsExpressionBySage,PublicationsExpressionBySNP
2005,449,23,0,0,0,0,1,0
2006,734,39,0,0,0,0,0,0
2007,610,44,0,1,0,0,0,0
2008,736,44,0,1,0,0,0,0
2009,1254,54,2,2,0,0,0,0
2010,2194,73,5,55,0,0,0,0
2011,2550,81,12,56,0,0,0,0
2012,2390,88,18,7,0,0,0,0
2013,3511,78,26,9,0,0,0,0
2014,3432,60,46,5,0,0,0,0
2015,2269,50,65,2,0,0,0,0
2016,2791,42,90,4,0,0,0,0
2017,3603,54,112,3,0,0,0,0
2018,4109,44,141,1,0,0,0,0
2019,4644,28,181,0,0,0,0,0
2020,5000,33,214,0,0,0,0,0
2021,4819,21,211,0,0,0,0,0
