,GSE_output,_merge
0,GSE117581,both
1,GSE122728,both
2,GSE122892,both
3,GSE95240,left_only
4,GSE123163,both
5,GSE97678,both
6,GSE123968,both
7,GSE111257,both
8,GSE118175,both
9,GSE119292,both
10,GSE99020,both
11,GSE94455,left_only
12,GSE103776,both
13,GSE95636,both
14,GSE121091,both
15,GSE68464,both
16,GSE108283,both
17,GSE96068,both
18,GSE97980,both
19,GSE93186,both
20,GSE76380,left_only
21,GSE114955,both
22,GSE72232,left_only
23,GSE125131,both
24,GSE111325,both
25,GSE119485,both
26,GSE99763,both
27,GSE97592,both
28,GSE107175,both
29,GSE117061,both
30,GSE100623,both
31,GSE114271,both
32,GSE117222,both
33,GSE118400,both
34,GSE101910,left_only
35,GSE112753,both
36,GSE124372,both
37,GSE95510,both
38,GSE94412,both
39,GSE107799,both
40,GSE113266,both
41,GSE101524,left_only
42,GSE101680,left_only
43,GSE98544,left_only
44,GSE110984,both
45,GSE101964,left_only
46,GSE108005,both
47,GSE108263,both
48,GSE93724,both
49,GSE102300,both
50,GSE79375,both
51,GSE106672,left_only
52,GSE107704,both
53,GSE95229,left_only
54,GSE106889,both
55,GSE122902,both
56,GSE121129,both
57,GSE97775,both
58,GSE111083,both
59,GSE113500,both
60,GSE181470,right_only
61,GSE181469,right_only
62,GSE136942,right_only
63,GSE37309,right_only
64,GSE192540,right_only
65,GSE192538,right_only
66,GSE190585,right_only
67,GSE123921,right_only
68,GSE189988,right_only
69,GSE184415,right_only
70,GSE160704,right_only
71,GSE189437,right_only
72,GSE174652,right_only
73,GSE157319,right_only
74,GSE157317,right_only
75,GSE188851,right_only
76,GSE188850,right_only
77,GSE158274,right_only
78,GSE159077,right_only
79,GSE145123,right_only
80,GSE110845,right_only
81,GSE110844,right_only
82,GSE110843,right_only
83,GSE110842,right_only
84,GSE110841,right_only
85,GSE110840,right_only
86,GSE110839,right_only
87,GSE110838,right_only
88,GSE110837,right_only
89,GSE110836,right_only
90,GSE110835,right_only
91,GSE110834,right_only
92,GSE110833,right_only
93,GSE179166,right_only
94,GSE176406,right_only
95,GSE175950,right_only
96,GSE181115,right_only
97,GSE168795,right_only
98,GSE168502,right_only
99,GSE168501,right_only
100,GSE169458,right_only
101,GSE166550,right_only
102,GSE166549,right_only
103,GSE184149,right_only
104,GSE184076,right_only
105,GSE115677,right_only
106,GSE183361,right_only
107,GSE183331,right_only
108,GSE173287,right_only
109,GSE158628,right_only
110,GSE182981,right_only
111,GSE173985,right_only
112,GSE164775,right_only
113,GSE182330,right_only
114,GSE152704,right_only
115,GSE154338,right_only
116,GSE118433,right_only
117,GSE163054,right_only
118,GSE168925,right_only
119,GSE168924,right_only
120,GSE167168,right_only
121,GSE167167,right_only
122,GSE154322,right_only
123,GSE168073,right_only
124,GSE180506,right_only
125,GSE146801,right_only
126,GSE179825,right_only
127,GSE179811,right_only
128,GSE149944,right_only
129,GSE162067,right_only
130,GSE162066,right_only
131,GSE162064,right_only
132,GSE162063,right_only
133,GSE134535,right_only
134,GSE178335,right_only
135,GSE157031,right_only
136,GSE151299,right_only
137,GSE162226,right_only
138,GSE162792,right_only
139,GSE176088,right_only
140,GSE151828,right_only
141,GSE144673,right_only
142,GSE144672,right_only
143,GSE171938,right_only
144,GSE174646,right_only
145,GSE172079,right_only
146,GSE173987,right_only
147,GSE173799,right_only
148,GSE171836,right_only
149,GSE155935,right_only
150,GSE149742,right_only
151,GSE173646,right_only
152,GSE165061,right_only
153,GSE167859,right_only
154,GSE157701,right_only
155,GSE146873,right_only
156,GSE155077,right_only
157,GSE155075,right_only
158,GSE155074,right_only
159,GSE151731,right_only
160,GSE151717,right_only
161,GSE151716,right_only
162,GSE151714,right_only
163,GSE165786,right_only
164,GSE171748,right_only
165,GSE171733,right_only
166,GSE171726,right_only
167,GSE148786,right_only
168,GSE151216,right_only
169,GSE171089,right_only
170,GSE168802,right_only
171,GSE168803,right_only
172,GSE169204,right_only
173,GSE169137,right_only
174,GSE169089,right_only
175,GSE134775,right_only
176,GSE168597,right_only
177,GSE168322,right_only
178,GSE168081,right_only
179,GSE152257,right_only
180,GSE137861,right_only
181,GSE149862,right_only
182,GSE165793,right_only
183,GSE165210,right_only
184,GSE164671,right_only
185,GSE164662,right_only
186,GSE146062,right_only
187,GSE146059,right_only
188,GSE146057,right_only
189,GSE146056,right_only
190,GSE143664,right_only
191,GSE150135,right_only
192,GSE136577,right_only
193,GSE136576,right_only
194,GSE160304,right_only
195,GSE144558,right_only
196,GSE144556,right_only
197,GSE156318,right_only
198,GSE156517,right_only
199,GSE143618,right_only
200,GSE152680,right_only
201,GSE131616,right_only
202,GSE131611,right_only
203,GSE149071,right_only
204,GSE114951,right_only
205,GSE156551,right_only
206,GSE156549,right_only
207,GSE162002,right_only
208,GSE161985,right_only
209,GSE146642,right_only
210,GSE152794,right_only
211,GSE142507,right_only
212,GSE161011,right_only
213,GSE106079,right_only
214,GSE145458,right_only
215,GSE145457,right_only
216,GSE158836,right_only
217,GSE158729,right_only
218,GSE144499,right_only
219,GSE125051,right_only
220,GSE158232,right_only
221,GSE137516,right_only
222,GSE157800,right_only
223,GSE138199,right_only
224,GSE146932,right_only
225,GSE119917,right_only
226,GSE146655,right_only
227,GSE146654,right_only
228,GSE133421,right_only
229,GSE73101,right_only
230,GSE136828,right_only
231,GSE136826,right_only
232,GSE156721,right_only
233,GSE156717,right_only
234,GSE149422,right_only
235,GSE156356,right_only
236,GSE128746,right_only
237,GSE155191,right_only
238,GSE155190,right_only
239,GSE156037,right_only
240,GSE156000,right_only
241,GSE154417,right_only
242,GSE143904,right_only
243,GSE133703,right_only
244,GSE114160,right_only
245,GSE147894,right_only
246,GSE147388,right_only
247,GSE143811,right_only
248,GSE141514,right_only
249,GSE133576,right_only
250,GSE130811,right_only
251,GSE130782,right_only
252,GSE141041,right_only
253,GSE139562,right_only
254,GSE141097,right_only
255,GSE138129,right_only
256,GSE146256,right_only
257,GSE153088,right_only
258,GSE137112,right_only
259,GSE145255,right_only
260,GSE134989,right_only
261,GSE143599,right_only
262,GSE132669,right_only
263,GSE151916,right_only
264,GSE151848,right_only
265,GSE151847,right_only
266,GSE151846,right_only
267,GSE134614,right_only
268,GSE138035,right_only
269,GSE116367,right_only
270,GSE151340,right_only
271,GSE151359,right_only
272,GSE144686,right_only
273,GSE132594,right_only
274,GSE131997,right_only
275,GSE151164,right_only
276,GSE145217,right_only
277,GSE148134,right_only
278,GSE146618,right_only
279,GSE145983,right_only
280,GSE149596,right_only
281,GSE138220,right_only
282,GSE137058,right_only
283,GSE136881,right_only
