WB_version,category_1,Additional_categories,Gene_set_name,Number_genes,Refs,Data_from,Rawdata,Selection_criteria,decided_by,Comment
NA,TF Targets,NA,alr-1 L2 targets,1137,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,encode,NA,NA,
NA,TF Targets,NA,alr-1 L2 targets,3425,http://www.ncbi.nlm.nih.gov/pubmed/21177963,Supp Table S4,encode,NA,NA,
NA,Mutants,NA,down by daf-2:rsks-1 mutant,1249,http://www.ncbi.nlm.nih.gov/pubmed/24332851,Re-analysis (fdr<0.05 & fold>=2),GSE52340,NA,NA,
NA,Mutants,NA,down by daf-2:rsks-1 mutant,322,http://www.ncbi.nlm.nih.gov/pubmed/26959186,Re-analysis (adj_p<0.05 & Fold>2),GSE77111,NA,NA,add in 2016.06.08
NA,DAF/Insulin/food,NA,down by rsks-1 mutant,433,http://www.ncbi.nlm.nih.gov/pubmed/24332851,Re-analysis (fdr<0.05 & fold>=2),GSE52340,NA,NA,
NA,Mutants,NA,down by rsks-1 mutant,639,http://www.ncbi.nlm.nih.gov/pubmed/26959186,Re-analysis (adj_p<0.05 & Fold>2),GSE77111,NA,NA,add in 2016.06.08
NA,TF Targets,NA,FKH-10 L4 targets (Araya),14,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,TF Targets,NA,FKH-10 L4 targets (Araya),49,http://www.ncbi.nlm.nih.gov/pubmed/25164749,http://www.broadinstitute.org/~anshul/projects/worm,http://www.modencode.org/,NA,NA,add in 2016.07.01
NA,Mutants,NA,UP by daf-2:rsks-1 mutant,1077,http://www.ncbi.nlm.nih.gov/pubmed/24332851,Re-analysis (fdr<0.05 & fold>=2),GSE52340,NA,NA,
NA,Mutants,NA,UP by daf-2:rsks-1 mutant,620,http://www.ncbi.nlm.nih.gov/pubmed/26959186,Re-analysis (adj_p<0.05 & Fold>2),GSE77111,NA,NA,add in 2016.06.08
NA,Mutants,NA,UP by rsks-1 mutant,165,http://www.ncbi.nlm.nih.gov/pubmed/24332851,Re-analysis (fdr<0.05 & fold>=2),GSE52340,NA,NA,
NA,Mutants,NA,UP by rsks-1 mutant,805,http://www.ncbi.nlm.nih.gov/pubmed/26959186,Re-analysis (adj_p<0.05 & Fold>2),GSE77111,NA,NA,add in 2016.06.08
NA,DAF/Insulin/food,NA,UP by fasting (Ihara),608,https://www.ncbi.nlm.nih.gov/pubmed/27989925,Supp. Table S3,GSE51046,NA,NA,add in 2017.07.25
NA,Mutants,NA,HSF-1 activated genes,44,https://www.ncbi.nlm.nih.gov/pubmed/27688402,Supplementary Table 2,GSE81522,NA,NA,add in 2017.07.26
NA,Mutants,NA,HSF-1 repressed genes,20,https://www.ncbi.nlm.nih.gov/pubmed/27688402,Supplementary Table 2,GSE81522,NA,NA,add in 2017.07.26
NA,DAF/Insulin/food,NA,UP by Fasting,907,http://www.ncbi.nlm.nih.gov/pubmed/23352664,Table S1 (up at all timepoints),GSE42689,NA,NA,
WBcel235,Chemicals/stress,NA,Down by Allantoin (Admasu),7,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,Table S3,GSE108263,p<0.05; foldchange <= -2,authors,added 2022.05.24
NA,DAF/Insulin/food,NA,down by allantoin,314,http://www.ncbi.nlm.nih.gov/pubmed/26676933,Table S4 (Fold>2),GSE64336,NA,NA,add in 2016.06.09
WBcel235,Chemicals/stress,NA,Down by Rapamycin (Admasu),301,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,Table S3,GSE108263,p<0.05; foldchange <= -2,authors,added 2022.05.24
NA,DAF/Insulin/food,NA,down by rapamycin,622,http://www.ncbi.nlm.nih.gov/pubmed/26676933,Table S4 (Fold>2),GSE64336,NA,NA,add in 2016.06.09
WBcel235,Chemicals/stress,NA,Down by Rifampicin (Admasu),1087,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,Table S3,GSE108263,p<0.05; foldchange <= -2,authors,added 2022.05.24
NA,Chemicals/stress,NA,down by Rifampicin,81,http://www.ncbi.nlm.nih.gov/pubmed/25720500,Table S1,GSE45292,NA,NA,
WBcel235,Chemicals/stress,NA,Up by Allantoin (Admasu),24,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,Table S3,GSE108263,p<0.05; foldchange >= 2,authors,added 2022.05.24
NA,DAF/Insulin/food,NA,UP by allantoin,70,http://www.ncbi.nlm.nih.gov/pubmed/26676933,Table S4 (Fold>2),GSE64336,NA,NA,add in 2016.06.09
WBcel235,Chemicals/stress,NA,Up by Rapamycin (Admasu),133,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,Table S3,GSE108263,p<0.05; foldchange >= 2,authors,added 2022.05.24
NA,DAF/Insulin/food,NA,UP by rapamycin,865,http://www.ncbi.nlm.nih.gov/pubmed/26676933,Table S4 (Fold>2),GSE64336,NA,NA,add in 2016.06.09
WBcel235,Chemicals/stress,NA,Up by Rifampicin (Admasu),715,https://www.sciencedirect.com/science/article/pii/S1534580718306993#app2,Table S3,GSE108263,p<0.05; foldchange >= 2,authors,added 2022.05.24
NA,Tissue,NA,UP by Rifampicin,95,http://www.ncbi.nlm.nih.gov/pubmed/25720500,Supplementary Table 4,GSE50548,NA,NA,
NA,Chemicals/stress,NA,UP by tunicamycin,111,http://www.ncbi.nlm.nih.gov/pubmed/25366321,Supplementary Table S3,GSE61733,NA,NA,
WS283,Chemicals/stress,NA,Up by Tunicamycin (Koh),760,https://pubmed.ncbi.nlm.nih.gov/30333136/,Table S2,GSE99763,ANOVA p<0.05; foldchange >= 1.5,authors,
WS250,Mutants,development;epigenetics,Down in F1 set-9;set-26,1644,https://pubmed.ncbi.nlm.nih.gov/29714684/,Supplementary file 2,GSE100623,FDR<0.05,authors,added 2022.05.24
WS235,Microbes,NA,Down in npr-1 by P. aeruginosa PA14 infection 24h,89,https://pubmed.ncbi.nlm.nih.gov/27066825/,Additional file 16,GSE60063,q < 0.05; foldchange <= -2,JN,added 2022.05.24
WS235,Microbes,NA,Down in npr-1 by P. aeruginosa PA14 infection 12h,55,https://pubmed.ncbi.nlm.nih.gov/27066825/,Additional file 16,GSE60063,q < 0.05; foldchange <= -2,JN,added 2022.05.24
