WormBaseVersion_checked,Categories,Gene Set name,number_genes,Refs,Data From,Selection_criteria,decided_by,Rawdata,Comment,
,Development/Dauer/Aging,"Changed 9, 14, 19 days vs. 4 days in daf-2 mutant",15,http://www.ncbi.nlm.nih.gov/pubmed/15153179,Table 2,,,E-MEXP-138,,
,Development/Dauer/Aging,"Changed 9, 14, 19 days vs. 4 days in N2",17,http://www.ncbi.nlm.nih.gov/pubmed/15153179,Table 2,,,E-MEXP-138,,
,DAF/Insulin/food,Changed daf-2 vs. N2,43,http://www.ncbi.nlm.nih.gov/pubmed/15153179,Table 3,,,E-MEXP-138,,
,Development/Dauer/Aging,Duaer related between lines,86,http://www.ncbi.nlm.nih.gov/pubmed/19615088,"Table 3, Harvey SC, BMC Genomics. 2009",,,E-MEXP-1808,,
,Microbes,"down by B. thuringiensis (BT247), C. elegans strain MY15",457,http://www.ncbi.nlm.nih.gov/pubmed/21931778,SuppTable 2,,,E-MEXP-2168,,
,Microbes,"down by B. thuringiensis (BT247), C. elegans strain MY18",236,http://www.ncbi.nlm.nih.gov/pubmed/21931778,SuppTable 2,,,E-MEXP-2168,,
,Microbes,"down by B. thuringiensis (BT247), C. elegans strain N2",80,http://www.ncbi.nlm.nih.gov/pubmed/21931778,SuppTable 2,,,E-MEXP-2168,,
,Microbes,"UP by B. thuringiensis (BT247), C. elegans strain MY15",237,http://www.ncbi.nlm.nih.gov/pubmed/21931778,SuppTable 2,,,E-MEXP-2168,,
,Microbes,"UP by B. thuringiensis (BT247), C. elegans strain MY18",156,http://www.ncbi.nlm.nih.gov/pubmed/21931778,SuppTable 2,,,E-MEXP-2168,,
,Microbes,"UP by B. thuringiensis (BT247), C. elegans strain N2",163,http://www.ncbi.nlm.nih.gov/pubmed/21931778,SuppTable 2,,,E-MEXP-2168,,
,Tissue,Enriched ASEL vs. ASER neurons,27,http://www.ncbi.nlm.nih.gov/pubmed/19875417,Supplementary Figure S2,,,E-MEXP-2412 ,,
,Tissue,Enriched ASER vs. ASEL neurons,100,http://www.ncbi.nlm.nih.gov/pubmed/19875417,Supplementary Figure S2,,,E-MEXP-2412 ,,
,DAF/Insulin/food,daf-16 targets,892,http://www.ncbi.nlm.nih.gov/pubmed/20706209,Supp table S2,,,E-MEXP-2414,,
,Microbes,down by biofilms of Y. pseudotuberculosis (ypsI/ytbI mutant) at 1h,145,http://www.ncbi.nlm.nih.gov/pubmed/25312958,Table S2,,,E-MEXP-2981,,
,Microbes,down by biofilms of Y. pseudotuberculosis at 1h,83,http://www.ncbi.nlm.nih.gov/pubmed/25312958,Table S1,,,E-MEXP-2981,,
,Microbes,UP by biofilms of Y. pseudotuberculosis at 1h,187,http://www.ncbi.nlm.nih.gov/pubmed/25312958,Table S1,,,E-MEXP-2981,,
,Development/Dauer/Aging,Down dbl-1 and sma-9 knock-out,16,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Supplementary Table 4,,,E-MEXP-687,,
,Development/Dauer/Aging,Down dbl-1 knock-out,49,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Supplementary Table 2,,,E-MEXP-687,,
,Development/Dauer/Aging,Down sma-9 knock-out,13,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Supplementary Table 3,,,E-MEXP-687,,
,TF Targets,Targets of the DBL-1 pathway,30,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Table 3,,,E-MEXP-687,,
,Development/Dauer/Aging,UP dbl-1 and sma-9 knock-out,10,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Supplementary Table 4,,,E-MEXP-687,,
,Development/Dauer/Aging,UP dbl-1 knock-out,117,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Supplementary Table 2,,,E-MEXP-687,,
,Development/Dauer/Aging,UP sma-9 knock-out,70,http://www.ncbi.nlm.nih.gov/pubmed/17397820,Supplementary Table 3,,,E-MEXP-687,,
,Microbes,Changed infected by Microbacterium nematophilum,100,http://www.ncbi.nlm.nih.gov/pubmed/16809667,Supp_Data_S1,,,E-MEXP-696,,
,Microbes,Down infected by Microbacterium nematophilum,21,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Supp_Data_S2,,,E-MEXP-696,,
,Microbes,UP infected by Microbacterium nematophilum,89,http://www.ncbi.nlm.nih.gov/pubmed/16809667,Supp_Data_S2,,,E-MEXP-696,,
,Mutants,down by rde-4 mutant (Welker),89,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Table S1,,,E-MEXP-956,,
,Mutants,Down rde-1 mutant,20,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Table S1,,,E-MEXP-956,,
,Mutants,Down unc-32(e189);dcr-1(ok247) vs. unc-32(e189),526,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Table S1,,,E-MEXP-956,,
,Mutants,UP unc-32(e189);dcr-1(ok247) vs. unc-32(e189),1120,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Table S1,,,E-MEXP-956,,
,Mutants,UP rde-1 mutant,63,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Table S1,,,E-MEXP-956,,
,Mutants,UP rde-1(ne300) mutant,145,http://www.ncbi.nlm.nih.gov/pubmed/17526642,RawData,,,E-MEXP-956,,
,Mutants,UP rde-4 mutant,413,http://www.ncbi.nlm.nih.gov/pubmed/17526642,Table S1,,,E-MEXP-956,,
,Mutants,UP rde-4(ne299) mutant,116,http://www.ncbi.nlm.nih.gov/pubmed/17526642,RawData,,,E-MEXP-956,,
