Categories,Gene Set name,Refs,Rawdata,Additional categories,
Development/Dauer/Aging,"Changed 9, 14, 19 days vs. 4 days in daf-2 mutant",http://www.ncbi.nlm.nih.gov/pubmed/15153179,E-MEXP-138,NA,
Development/Dauer/Aging,"Changed 9, 14, 19 days vs. 4 days in N2",http://www.ncbi.nlm.nih.gov/pubmed/15153179,E-MEXP-138,NA,
DAF/Insulin/food,Changed daf-2 vs. N2,http://www.ncbi.nlm.nih.gov/pubmed/15153179,E-MEXP-138,NA,
Development/Dauer/Aging,Duaer related between lines,http://www.ncbi.nlm.nih.gov/pubmed/19615088,E-MEXP-1808,NA,
Microbes,"down by B. thuringiensis (BT247), C. elegans strain MY15",http://www.ncbi.nlm.nih.gov/pubmed/21931778,E-MEXP-2168,NA,
Microbes,"down by B. thuringiensis (BT247), C. elegans strain MY18",http://www.ncbi.nlm.nih.gov/pubmed/21931778,E-MEXP-2168,NA,
Microbes,"down by B. thuringiensis (BT247), C. elegans strain N2",http://www.ncbi.nlm.nih.gov/pubmed/21931778,E-MEXP-2168,NA,
Microbes,"UP by B. thuringiensis (BT247), C. elegans strain MY15",http://www.ncbi.nlm.nih.gov/pubmed/21931778,E-MEXP-2168,NA,
Microbes,"UP by B. thuringiensis (BT247), C. elegans strain MY18",http://www.ncbi.nlm.nih.gov/pubmed/21931778,E-MEXP-2168,NA,
Microbes,"UP by B. thuringiensis (BT247), C. elegans strain N2",http://www.ncbi.nlm.nih.gov/pubmed/21931778,E-MEXP-2168,NA,
Tissue,Enriched ASEL vs. ASER neurons,http://www.ncbi.nlm.nih.gov/pubmed/19875417,E-MEXP-2412 ,NA,
Tissue,Enriched ASER vs. ASEL neurons,http://www.ncbi.nlm.nih.gov/pubmed/19875417,E-MEXP-2412 ,NA,
DAF/Insulin/food,daf-16 targets,http://www.ncbi.nlm.nih.gov/pubmed/20706209,E-MEXP-2414,NA,
Microbes,down by biofilms of Y. pseudotuberculosis (ypsI/ytbI mutant) at 1h,http://www.ncbi.nlm.nih.gov/pubmed/25312958,E-MEXP-2981,NA,
Microbes,down by biofilms of Y. pseudotuberculosis at 1h,http://www.ncbi.nlm.nih.gov/pubmed/25312958,E-MEXP-2981,NA,
Microbes,UP by biofilms of Y. pseudotuberculosis at 1h,http://www.ncbi.nlm.nih.gov/pubmed/25312958,E-MEXP-2981,NA,
Development/Dauer/Aging,Down dbl-1 and sma-9 knock-out,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
Development/Dauer/Aging,Down dbl-1 knock-out,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
Development/Dauer/Aging,Down sma-9 knock-out,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
TF Targets,Targets of the DBL-1 pathway,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
Development/Dauer/Aging,UP dbl-1 and sma-9 knock-out,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
Development/Dauer/Aging,UP dbl-1 knock-out,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
Development/Dauer/Aging,UP sma-9 knock-out,http://www.ncbi.nlm.nih.gov/pubmed/17397820,E-MEXP-687,NA,
Microbes,Changed infected by Microbacterium nematophilum,http://www.ncbi.nlm.nih.gov/pubmed/16809667,E-MEXP-696,NA,
Microbes,Down infected by Microbacterium nematophilum,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-696,NA,
Microbes,UP infected by Microbacterium nematophilum,http://www.ncbi.nlm.nih.gov/pubmed/16809667,E-MEXP-696,NA,
Mutants,down by rde-4 mutant (Welker),http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,Down rde-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,Down unc-32(e189);dcr-1(ok247) vs. unc-32(e189),http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,UP unc-32(e189);dcr-1(ok247) vs. unc-32(e189),http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,UP rde-1 mutant,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,UP rde-1(ne300) mutant,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,UP rde-4 mutant,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,UP rde-4(ne299) mutant,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
Mutants,UP rde-4(ne337) mutant,http://www.ncbi.nlm.nih.gov/pubmed/17526642,E-MEXP-956,NA,
TF Targets,alr-1 L2 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,BLMP-1 L1 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,CEH-14 L2 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,CEH-30 Emb targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,egl-27 L1 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,egl-3 L1 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,egl-5 L3 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,eor-1 L3 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,gei-11 L4 targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,HLH-1 Emb targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,Hox gene Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,LIN-11 L2 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,LIN-13 Emb Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,LIN-15B L3 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,LIN-39 L3 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,MAB-5 L3 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,MDL-1 L1 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,MEP-1 Emb Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PES-1 L4 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PHA-4 emb Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PHA-4 L1 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PHA-4 L2 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PHA-4 lemb Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PHA-4 YA Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,PQM-1 L3 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,SKN-1 L1 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
TF Targets,UNC-130 L3 Targets,http://www.ncbi.nlm.nih.gov/pubmed/21177963,encode,NA,
DAF/Insulin/food,Changed in TGF mutant with putative DAF-16 binding sites,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,Down daf-14 mutant,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,Down daf-7 mutant,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,Down daf-8 mutant,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Development/Dauer/Aging,Strongly regulated genes by TGFbeta,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,UP daf-14 mutant,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,UP daf-7 mutant,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,UP daf-8 mutant,http://www.ncbi.nlm.nih.gov/pubmed/15380030,E-SMDB-3596,NA,
Mutants,Down lin-14 (n179ts) mutant,http://www.ncbi.nlm.nih.gov/pubmed/16314527,E-SMDB-3919 ,NA,
Mutants,Down lin-14 mutant,http://www.ncbi.nlm.nih.gov/pubmed/16314527,E-SMDB-3919 ,NA,
Mutants,UP lin-14 (n179ts) mutant,http://www.ncbi.nlm.nih.gov/pubmed/16314527,E-SMDB-3919 ,NA,
Mutants,UP lin-14 mutant,http://www.ncbi.nlm.nih.gov/pubmed/16314527,E-SMDB-3919 ,NA,
Tissue,enriched by CYE-1/CDK-2AF expession Muscle,http://www.ncbi.nlm.nih.gov/pubmed/22102824,E-TABM-886,NA,
Tissue,enriched by CYE-1/CDK-4 expession Muscle,http://www.ncbi.nlm.nih.gov/pubmed/22102824,E-TABM-886,NA,
Tissue,Enriched in muscle,http://www.ncbi.nlm.nih.gov/pubmed/22102824,E-TABM-886,NA,
Other,Operons1,http://www.ncbi.nlm.nih.gov/pubmed/12075352,GPE2975,NA,
Other,SL2-Enriched,http://www.ncbi.nlm.nih.gov/pubmed/12075352,GPE2975,NA,
DAF/Insulin/food,Down in cav-2(RNAi),https://www.embopress.org/doi/full/10.15252/embr.201745673,GSE100045,development;mutants,
DAF/Insulin/food,Down in daf-2,https://www.embopress.org/doi/full/10.15252/embr.201745673,GSE100045,development;mutants,
DAF/Insulin/food,Up in cav-1(RNAi),https://www.embopress.org/doi/full/10.15252/embr.201745673,GSE100045,development;mutants,
DAF/Insulin/food,Up in daf-2,https://www.embopress.org/doi/full/10.15252/embr.201745673,GSE100045,development;mutants,
Mutants,Down by set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Down by set-9,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Down in daf-16;set-26;glp1 vs set-26; glp-1,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Down in F1 set-9;set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Down in F3 set-9;set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Down in set-26; glp-1  vs glp-1,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,genes with differential H3K4me3 level in F1 set-9 set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,genes with differential H3K4me3 level in F3 set-9 set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Up by set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Up by set-9,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Up in daf-16;set-26;glp1 vs set-26; glp-1,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Up in F1 set-9;set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Up in F3 set-9;set-26,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Mutants,Up in set-26; glp-1  vs glp-1,https://pubmed.ncbi.nlm.nih.gov/29714684/,GSE100623,development;epigenetics,
Chemicals/stress,Down in worms fed with B. Subtilis at 15C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Down in worms fed with B. Subtilis at 25C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Down in worms fed with E. Coli at 15C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Down in worms fed with E. Coli at 25C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Up in worms fed with B. Subtilis at 15C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Up in worms fed with B. Subtilis at 25C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Up in worms fed with B. Subtilis independent on temperature,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Up in worms fed with E. Coli at 15C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Up in worms fed with E. Coli at 25C,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Chemicals/stress,Up in worms fed with E. Coli independent on temperature,https://pubmed.ncbi.nlm.nih.gov/29515753/,GSE101524,pathogens;daf,
Development/Dauer/Aging,Down in lin-22(icb38) mutants,https://pubmed.ncbi.nlm.nih.gov/29108019/,GSE101645,NA,
Development/Dauer/Aging,Down in lin-22(ot267) mutants,https://pubmed.ncbi.nlm.nih.gov/29108019/,GSE101645,NA,
Development/Dauer/Aging,Down in lin-22(ot269) mutants,https://pubmed.ncbi.nlm.nih.gov/29108019/,GSE101645,NA,
Development/Dauer/Aging,Up in lin-22(icb38) mutants,https://pubmed.ncbi.nlm.nih.gov/29108019/,GSE101645,NA,
Development/Dauer/Aging,Up in lin-22(ot267) mutants,https://pubmed.ncbi.nlm.nih.gov/29108019/,GSE101645,NA,
Development/Dauer/Aging,Up in lin-22(ot269) mutants,https://pubmed.ncbi.nlm.nih.gov/29108019/,GSE101645,NA,
Microbes,Down in JU2519 12h before exposure to Myzocytiopsis humicola,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
Microbes,Down in JU2519 24h before exposure to Myzocytiopsis humicola,https://www.sciencedirect.com/science/article/pii/S0960982218300319#app2,GSE101647,NA,
